rank,category,product_link,name,avg_rating,review_link,rating_count,prime,Images,sentiment score,Answered_Questions,Price,Discount,customer_review_count
1,toys,/LEGO-Advent-Calendar-60235-Building/dp/B07NRT2CYD/,"            LEGO City Advent Calendar 60235 Building Kit, New 2019 (234 Pieces)        ",4.7,/product-reviews/B07NRT2CYD/,101,prime,7,0.7156699,16,26.9,0,72
2,toys,/L-L-Surprise-Amazing-Surprises/dp/B07PMN4NJD/,"            L.O.L. Surprise! Amazing Surprise with 14 Dolls, 70+ Surprises & 2 Playset        ",4.6,/product-reviews/B07PMN4NJD/,108,prime,6,0.8256844,27,98,25,89
3,toys,/PJ-Masks-95686-Advent-Calendar/dp/B07Q4QYWP2/,            PJ Masks Advent Calendar - Amazon Exclusive        ,5,/product-reviews/B07Q4QYWP2/,2,prime,3,0.9472907,0,9.99,66,3
4,toys,/Frozen-12902-Styling-Head-Elsa/dp/B074B6XXWB/,            Frozen Styling Head - Elsa        ,3.3,/product-reviews/B074B6XXWB/,61,prime,7,0.2555451,0,14.88,0,60
5,toys,/L-L-Surprise-Secret-Dollface/dp/B07PMN4BZP/,            L.O.L. Surprise! O.M.G. Winter Disco Dollie Fashion Doll & Sister        ,4.4,/product-reviews/B07PMN4BZP/,64,prime,6,0.540297,17,55.95,0,42
6,toys,/L-L-Surprise-Winter-Exclusive/dp/B07R7XGBQ5/,            L.O.L. Surprise! Winter Disco Bigger Surprise includes O.M.G. Fashion Doll (Amazon Exclusive)        ,4.2,/product-reviews/B07R7XGBQ5/,41,prime,6,0.5431059,13,62.99,30,32
7,toys,/Disney-Frozen-Basic-Animal-Elsa/dp/B07MC8SZ7V/,            Disney Frozen Elsa Fashion Doll & Nokk Figure Inspired by Frozen 2        ,5,/product-reviews/B07MC8SZ7V/,7,no prime,4,0.9383815,4,24.88,17,4
9,toys,/BEYBLADE-Slingshock-Collision-Beystadium-Launchers/dp/B07R8WQLRR/,"            BEYBLADE Burst Turbo Slingshock Cross Collision Battle Set -- Complete Set with Burst Beystadium, Battling Tops, & Launchers -- Age 8+        ",4,/product-reviews/B07R8WQLRR/,36,prime,6,0.7406787,0,39.73,21,28
10,toys,/Tara-Toys-Frozen2-Necklace-Activity/dp/B07SZX4BPV/,            Tara Toys Disney Frozen2 Necklace Activity Set        ,4.6,/product-reviews/B07SZX4BPV/,999,prime,5,0.700118,24,9.74,25,919
11,toys,/L-L-Surprise-Secret-Winter/dp/B07PS25DT4/,            L.O.L. Surprise! O.M.G. Winter Disco Cosmic Nova Fashion Doll & Sister        ,4.6,/product-reviews/B07PS25DT4/,34,prime,6,0.8587799,5,34.88,0,25
12,toys,/Osmo-Studio-Disney-Favorites-Required/dp/B07PY4QTN9/,"            Osmo - Super Studio Disney Frozen 2 Game - Ages 5-11 - Learn To Draw Elsa, Anna, Olaf & More Favorites & Watch Them Come to Life - (For iPad & Fire Tablet Base Required)        ",4.3,/product-reviews/B07PY4QTN9/,11,prime,6,0.8309168,9,13.99,30,8
13,toys,/L-L-Surprise-Secret-Winter/dp/B07PMN4NJX/,            L.O.L. Surprise! O.M.G. Winter Disco Snowlicious Fashion Doll & Sister        ,4.6,/product-reviews/B07PMN4NJX/,55,prime,6,0.8102119,10,34.88,0,36
14,toys,/LEGO-Advent-Calendar-75245-Building/dp/B07Q1K2ZYZ/,            LEGO Star Wars 2019 Advent Calendar 75245 Holiday Gift Set Building Kit with Star Wars Minifigure Characters (280 Pieces)        ,4.8,/product-reviews/B07Q1K2ZYZ/,76,no prime,7,0.7642205,13,24.99,38,56
15,toys,/LEGO-Disney-Frozen-Adventure-Building/dp/B07PX3V58M/,"            LEGO Disney Frozen II Elsa’s Wagon Carriage Adventure 41166 Building Kit with Elsa & Sven Toy Figure, New 2019 (116 Pieces)        ",4.9,/product-reviews/B07PX3V58M/,24,prime,6,0.9511966,0,23.99,20,22
16,toys,/NERF-Fortnite-Targets-Blaster-Exclusive/dp/B07R9G84X7/,"            NERF Fortnite Sp-R & Llama Targets -- Includes Sp-R Blaster, 3 Llama Targets, & 6 (Amazon Exclusive)        ",4.2,/product-reviews/B07R9G84X7/,25,prime,2,0.824477,6,24.99,0,19
17,toys,/Disney-Frozen-Kristoffs-Sleigh-Little/dp/B07P8WVSKL/,            Disney Frozen Kristoff's Sleigh by Little People        ,4.4,/product-reviews/B07P8WVSKL/,57,prime,6,0.8872291,6,15.99,6,47
18,toys,/Schleich-97982-Dinosaurs-Advent-Calendar/dp/B07LB5K5LC/,            Schleich North America Dinosaurs Advent Calendar 2019        ,4,/product-reviews/B07LB5K5LC/,5,prime,4,0.5513259,0,34.99,0,4
19,toys,/LEGO-Jewelry-Creation-Building-300Piece/dp/B07NRT2CYF/,"            LEGO Disney Frozen II Elsa’s Jewelry Box Creation 41168 Disney Jewelry Box Building Kit with Elsa Mini Doll and Nokk Figure for Creative Play, New 2019 (300 Pieces)        ",4.7,/product-reviews/B07NRT2CYF/,23,prime,6,0.9128663,0,31.99,20,21
20,toys,/Cry-Babies-Magic-Tears-Calendar/dp/B07Q69T515/,            Cry Babies Magic Tears Ruthy Advent Calendar        ,5,/product-reviews/B07Q69T515/,2,prime,6,0.8867218,8,19.99,0,2
21,toys,/LEGO-Minifigures-71025-Building-Minifigure/dp/B07QVSBM3R/,"            LEGO Minifigures 71025 Series 19 Building Kit, New 2019 (1 Minifigure)        ",4.5,/product-reviews/B07QVSBM3R/,63,prime,4,0.8494419,0,2.99,25,60
22,toys,/Frozen-2-Elsas-Feature-Vanity/dp/B07KX4QR37/,"            Disney Frozen 2 Elsa's Enchanted Ice Vanity, Includes Lights, Iconic Story Moments & Plays ""Vuelie"" and ""Into the Unknown"" For Ages 3+        ",3.4,/product-reviews/B07KX4QR37/,5,prime,6,0.777095,4,119.99,0,4
23,toys,/Play-Doh-PD-Olaf-Snowball-Maker/dp/B07MTTLNM2/,            Play-Doh Featuring Disney Frozen Olaf's Sleigh Ride        ,2.5,/product-reviews/B07MTTLNM2/,4,prime,6,0.6398051,0,12.99,19,3
24,toys,/Monopoly-E8760000-Unicorns-Vs-Llamas/dp/B07QB98HV7/,            Monopoly Unicorns Vs. Llamas Board Game for Ages 8 & Up (Amazon Exclusive)        ,4,/product-reviews/B07QB98HV7/,12,prime,5,0.7616542,0,19.99,0,10
25,toys,/Disney-Frozen-Frz-Character-Anna/dp/B07MM2R5DP/,            Disney Frozen Anna Fashion Doll with Long Red Hair & Outfit Inspired by Frozen 2 - Toy for Kids 3 Years Old & Up        ,4,/product-reviews/B07MM2R5DP/,7,prime,3,0.7922646,4,11.99,20,8
26,toys,/Really-R-D-Robots-Turbo/dp/B07NSTW6FT/,            Really RAD Robots - Electronic Remote Control Robot with Voice Command - Built for Speed and Tricks - Turbo Bot        ,4.4,/product-reviews/B07NSTW6FT/,36,prime,6,0.7734683,13,43.88,12,28
27,toys,/L-O-L-Surprise-Chalet-Winter-Disco/dp/B07PPR6P5D/,            L.O.L. Surprise! Winter Disco Chalet Doll House with 95+ Surprises & Exclusive Family        ,4.1,/product-reviews/B07PPR6P5D/,21,prime,6,0.5394083,31,216.99,13,16
28,toys,/NERF-Motorized-Blaster-Farthest-Compatible/dp/B07RRYQPPQ/,            NERF Ultra One Motorized Blaster -- 25 Ultra Darts -- Farthest Flying Darts Ever -- Compatible Only Ultra One Darts        ,3.6,/product-reviews/B07RRYQPPQ/,49,prime,6,0.4560976,9,49.72,0,44
29,toys,/Hatchimals-Llalacorn-Interactive-Re-Hatchable-Styles/dp/B07NFRYSZQ/,"            Hatchimals Wow Llalacorn 32"" Tall Interactive with Re-Hatchable Egg (Styles May Vary)        ",4.4,/product-reviews/B07NFRYSZQ/,25,prime,6,0.7718299,0,59.99,0,18
31,toys,/Owleez-Flying-Interactive-Lights-Sounds/dp/B07PBCJKZ3/,"            Owleez, Flying Baby Owl Interactive Toy with Lights & Sounds (Pink), for Kids Aged 6 & Up        ",3.5,/product-reviews/B07PBCJKZ3/,72,prime,6,0.7325946,17,38.82,0,61
32,toys,/Cutetitos-Mystery-Stuffed-Animals-Collectible/dp/B07QL67MB3/,            Cutetitos - Mystery Stuffed Animals - Collectible Plush - Series 3        ,4.8,/product-reviews/B07QL67MB3/,484,prime,7,0.8398868,31,6.99,30,463
33,toys,/Disney-Frozen-Frz-Sd-Multipack/dp/B07MSVW3MC/,"            Disney Frozen Adventure Collection, 5 Small Dolls from Frozen 2, Anna, Elsa, Kristoff, Sven, Olaf, & Gale Accessory        ",4.2,/product-reviews/B07MSVW3MC/,14,prime,7,0.5763389,0,17.49,30,9
34,toys,/Little-Live-Pets-Scruff-Luvs/dp/B07NSS34SL/,            Little Live Scruff-a-Luvs Plush Mystery Electronic Rescue Pet - Real Rescue        ,3.9,/product-reviews/B07NSS34SL/,27,prime,6,0.74493,16,29.82,25,21
35,toys,/Hasbro-Gaming-E8229-Battleship-Shots/dp/B07MTGXPTM/,            Hasbro Gaming Battleship Shots        ,4.5,/product-reviews/B07MTGXPTM/,18,prime,5,0.8189089,0,12.99,35,13
36,toys,/Disney-Frozen-Storytelling-Fashion-Doll/dp/B07MJHCV92/,            Disney Frozen Elsa Fashion Doll in Travel Outfit Inspired by Frozen 2 with Pabbie & Salamander Figures        ,5,/product-reviews/B07MJHCV92/,1,prime,2,0.9999816,3,22.67,0,1
37,toys,/LEGO-Star-Wars-Wing-Starfighter/dp/B07Q2TQ48C/,"            LEGO Star Wars: The Rise of Skywalker Resistance A-Wing Starfighter 75248 Advanced Collectible Starship Model Building Kit, New 2019 (269 Pieces)        ",4.4,/product-reviews/B07Q2TQ48C/,32,prime,6,0.7955401,0,23.99,20,27
38,toys,/Wingspan-with-Swift-Start-Pack/dp/B07YQ641NQ/,            Wingspan with Swift Start Pack        ,4.7,/product-reviews/B07YQ641NQ/,156,prime,5,0.9506075,43,59.99,0,139
39,toys,/LEGO-Potter-Calendar-75964-Building/dp/B07NRSY3RW/,"            LEGO Harry Potter Advent Calendar 75964 Building Kit, New 2019 (305 Pieces)        ",4.7,/product-reviews/B07NRSY3RW/,103,no prime,7,0.7627537,12,34.99,0,73
40,toys,/Frozen-Sisters-Musical-Snow-Wand/dp/B07KWZQ1RX/,"            Frozen 2 Sisters Musical Snow Wand Costume Prop Scepter, Plays ""Into The Unknown"" Perfect for Child Costume Accessory, Role Play, Dress Up or Halloween Party        ",2.6,/product-reviews/B07KWZQ1RX/,9,prime,7,0.555913,0,8.99,40,9
41,toys,/Decorate-Personalize-Rhinestone-Stickers-Children/dp/B07TVF82RL/,"            Decorate & Personalize Your Own Water Bottles for Girls with Tons of Rhinestone Glitter Gem Stickers! BPA Free 20 oz Kids Water Bottle! Cute Gift for Girl, Fun DIY Art and Craft for Children        ",4.4,/product-reviews/B07TVF82RL/,49,prime,6,0.7869304,6,12.99,0,39
42,toys,/Owleez-GLC-INA-White-ECMX/dp/B07P6Y6478/,"            Owleez, Flying Baby Owl Interactive Toy with Lights & Sounds (White), for Kids Aged 6 & Up        ",3.5,/product-reviews/B07P6Y6478/,72,prime,6,0.7325946,17,34.99,0,61
43,toys,/Disney-Frozen-Frz-Character-Elsa/dp/B07MJH9675/,            Disney Frozen Elsa Fashion Doll with Long Blonde Hair & Blue Outfit Inspired by Frozen 2 - Toy for Kids 3 Years Old & Up        ,4.8,/product-reviews/B07MJH9675/,15,no prime,3,0.8703446,8,22.09,0,13
44,toys,/Disney-Frozen-Palace-Little-People/dp/B07PC36346/,            Disney Frozen Elsa's Ice Palace by Little People        ,4.7,/product-reviews/B07PC36346/,68,prime,5,0.8579946,12,33.8,15,52
45,toys,/LEGO-at-St-Raider-Building-540Piece/dp/B07Q2WB3D3/,"            LEGO Star Wars AT-ST Raider 75254 The Mandalorian Collectible All Terrain Scout Transport Walker Posable Building Model, New 2019 (540 Pieces)        ",4.8,/product-reviews/B07Q2WB3D3/,32,prime,7,0.9554583,0,39.99,20,28
46,toys,/LEGO-Friends-Calendar-41382-Building/dp/B07PX3WG21/,"            LEGO Friends Advent Calendar 41382 Building Kit, New 2019 (330 Pieces)        ",4.5,/product-reviews/B07PX3WG21/,63,no prime,6,0.8996565,5,28.85,0,50
47,toys,/LEGO-Disney-Frozen-Expedition-Building/dp/B07Q2MQQ1K/,"            LEGO Disney Frozen II Anna’s Canoe Expedition 41165 Frozen Adventure Easy Building Kit, New 2019 (108 Pieces)        ",4.4,/product-reviews/B07Q2MQQ1K/,22,prime,6,0.8417436,0,15.99,20,22
48,toys,/Frozen-2-Feature-Elsa-Doll/dp/B07KWSCPR4/,"            Disney Frozen 2 Elsa Musical Doll Sings Into the Unknown - Features 14 Film Phrases - Dress Lights Up - Ages 3+, 14 In        ",4.1,/product-reviews/B07KWSCPR4/,11,prime,6,0.7585763,6,25.14,28,10
49,toys,/Monopoly-E5066-Frozen/dp/B07MTYQMFQ/,            Monopoly Game: Disney Frozen 2 Edition Board Game for Ages 8 & Up        ,3.4,/product-reviews/B07MTYQMFQ/,4,prime,6,0.8030357,0,9.99,50,6
